alpha,beta,gamma,conf_no,rmsd1,rmsd2
59.9,21.9,16.9,2228,0.44,0.66
77.7,23.6,-27.7,2229,0.44,0.64
31.2,31.4,63.8,2230,0.45,0.51
33.2,21.2,28.2,2231,0.44,0.5
35.6,20.4,32.6,2232,0.44,0.48
15.9,31.7,88.0,2233,0.45,0.5
9.3,32.5,89.4,2234,0.45,0.49
58.6,22.0,26.5,2235,0.44,0.51
25.2,33.3,63.5,2236,0.44,0.48
19.9,29.0,80.0,2237,0.45,0.48
51.5,24.0,6.0,2238,0.44,0.48
57.1,18.7,14.2,2239,0.44,0.64
31.9,9.0,26.6,2240,0.44,0.74
-30.8,9.2,46.6,2241,0.44,0.49
40.3,19.8,35.2,2242,0.44,0.62
45.7,27.6,29.8,2243,0.44,0.49
14.3,15.5,44.4,2244,0.44,0.48
38.2,101.3,0.0,2245,0.53,0.64
38.3,17.6,34.3,2246,0.44,0.69
69.2,60.3,-0.5,2247,0.62,0.48
66.7,51.7,4.9,2248,0.44,0.48
57.3,15.3,-1.6,2249,0.44,0.5
28.2,24.3,56.7,2250,0.44,0.49
45.4,32.7,25.6,2251,0.44,0.48
31.7,31.5,69.0,2252,0.45,0.48
24.2,18.6,34.0,2253,0.45,0.68
14.8,25.5,37.0,2254,0.7,0.49
60.0,43.3,-0.7,2255,0.45,0.48
19.1,27.3,66.0,2256,0.44,0.53
14.9,35.7,80.3,2257,0.45,0.51
32.5,12.1,44.9,2258,0.44,0.6
-3.2,15.1,86.0,2259,0.44,0.48
40.2,27.7,41.7,2260,0.44,0.48
8.3,42.5,95.3,2261,0.45,0.48
96.1,27.7,-41.9,2262,0.44,0.48
6.1,25.4,78.1,2263,0.44,0.57
33.9,22.5,40.7,2264,0.44,0.54
10.5,17.5,70.0,2265,0.44,0.54
75.6,25.7,7.1,2266,0.44,0.49
6.0,28.6,70.5,2267,0.45,0.48
19.2,26.8,70.4,2268,0.44,0.49
21.7,22.6,64.4,2269,0.44,0.48
33.3,22.1,42.5,2270,0.44,0.57
75.5,20.9,8.3,2271,0.44,0.48
70.4,21.8,1.2,2272,0.44,0.48
8.2,21.6,39.0,2273,0.44,0.48
-25.1,46.8,75.8,2274,0.44,0.49
14.2,30.5,90.3,2275,0.45,0.48
-51.4,47.4,126.0,2276,0.44,0.5
-4.0,17.8,83.5,2277,0.44,0.5
-64.9,44.8,93.3,2278,0.44,0.49
-35.4,33.8,119.5,2279,0.44,0.49
-13.9,12.6,80.1,2280,0.44,0.8
75.4,17.6,1.1,2281,0.44,0.68
-7.3,63.1,58.5,2282,0.45,0.48
60.0,17.8,20.0,2283,0.44,0.49
30.5,32.5,64.9,2284,0.44,0.48
61.2,20.6,24.3,2285,0.44,0.51
50.1,24.8,44.4,2286,0.44,0.53
2.5,36.8,73.2,2287,0.44,0.51
29.6,30.0,51.7,2288,0.45,0.5
80.7,17.7,-37.0,2289,0.44,0.64
64.2,19.5,15.5,2290,0.44,0.52
54.9,32.6,4.7,2291,0.44,0.48
41.6,20.1,38.7,2292,0.44,0.48
56.4,18.1,36.4,2293,0.44,0.48
-35.5,17.0,56.7,2294,0.45,0.5
56.7,26.5,30.3,2295,0.44,0.5
-16.8,75.7,19.2,2296,0.44,0.52
20.2,28.2,78.3,2297,0.44,0.48
2.9,29.7,78.9,2298,0.45,0.5
33.3,26.2,58.7,2299,0.44,0.48
35.2,103.1,-6.8,2300,0.57,0.5
57.9,34.6,14.8,2301,0.44,0.54
105.9,-24.9,-37.3,2302,0.44,0.49
58.7,19.9,13.1,2303,0.44,0.48
37.3,18.7,40.7,2304,0.44,0.48
19.4,25.3,54.6,2305,0.45,0.5
14.2,24.2,73.5,2306,0.44,0.48
17.9,29.4,70.5,2307,0.44,0.5
28.9,23.5,54.8,2308,0.44,0.48
23.9,21.9,60.8,2309,0.44,0.6
85.0,26.1,-15.0,2310,0.44,0.61
62.2,25.0,17.1,2311,0.44,0.62
37.3,14.8,52.7,2312,0.45,0.48
47.5,31.1,20.8,2313,0.45,0.48
29.7,35.5,66.4,2314,0.45,0.51
79.9,25.5,-11.5,2315,0.44,0.5
86.5,27.1,-7.6,2316,0.44,0.52
23.2,34.8,63.8,2317,0.45,0.56
4.0,24.9,84.0,2318,0.45,0.48
27.9,36.6,64.3,2319,0.44,0.51
70.3,18.8,9.3,2320,0.44,0.63
87.4,37.7,-16.3,2321,0.44,0.69
47.6,45.3,28.1,2322,0.45,0.48
-83.9,19.1,77.5,2323,0.44,0.48
9.3,30.3,89.4,2324,0.59,0.5
37.9,29.0,61.3,2325,0.44,0.57
86.5,21.5,-46.4,2326,0.46,0.64
45.2,12.2,24.9,2327,0.44,0.69
68.5,20.0,11.7,2328,0.44,0.53
94.1,32.1,-17.9,2329,0.46,0.6
33.1,22.8,38.7,2330,0.44,0.51
49.9,15.4,21.8,2331,0.44,0.5
38.9,20.1,30.1,2332,0.45,0.48
27.4,9.2,31.6,2333,0.44,0.65
54.9,22.7,20.6,2334,0.44,0.67
79.0,33.0,1.1,2335,0.44,0.51
44.2,30.0,47.9,2336,0.44,0.49
11.5,16.0,69.9,2337,0.44,0.48
66.9,11.0,-17.5,2338,0.44,0.66
79.1,21.3,-1.2,2339,0.44,0.51
14.0,30.8,77.0,2340,0.45,0.48
26.5,32.8,76.7,2341,0.49,0.48
37.9,23.8,41.7,2342,0.44,0.48
29.7,29.0,61.8,2343,0.45,0.5
65.4,19.3,21.4,2344,0.44,0.63
-4.8,7.4,63.6,2345,0.44,0.68
51.0,30.1,39.2,2346,0.44,0.48
69.0,17.6,6.1,2347,0.44,0.61
54.0,22.3,16.6,2348,0.44,0.48
32.5,20.4,30.2,2349,0.44,0.5
32.5,20.6,56.6,2350,0.44,0.48
-11.3,24.8,83.1,2351,0.44,0.49
37.5,82.0,8.1,2352,0.45,0.48
46.4,23.1,22.0,2353,0.44,0.48
58.8,25.6,43.3,2354,0.44,0.48
46.4,30.0,46.9,2355,0.44,0.48
43.5,18.4,27.0,2356,0.44,0.5
3.1,23.5,82.0,2357,0.45,0.48
24.9,17.9,38.3,2358,0.44,0.48
42.8,17.6,17.4,2359,0.44,0.51
56.6,17.2,5.6,2360,0.44,0.49
-15.4,12.2,67.3,2361,0.44,0.71
-20.7,56.8,54.8,2362,0.45,0.49
43.9,26.9,56.3,2363,0.48,0.48
8.0,28.8,65.2,2364,0.45,0.68
14.7,33.5,85.0,2365,0.45,0.48
54.3,18.2,7.1,2366,0.44,0.74
13.4,14.0,67.4,2367,0.44,0.48
58.1,16.0,-1.3,2368,0.44,0.74
-2.1,20.5,80.6,2369,0.67,0.48
24.2,17.0,31.1,2370,0.44,0.49
31.6,31.0,64.5,2371,0.44,0.48
-77.6,11.2,102.1,2372,0.44,0.49
31.3,31.0,42.0,2373,0.44,0.48
59.4,15.2,14.0,2374,0.44,0.56
23.1,36.3,79.4,2375,0.44,0.48
38.4,29.7,49.9,2376,0.44,0.48
-13.7,17.0,74.2,2377,0.45,0.61
18.9,23.3,59.4,2378,0.44,0.49
32.8,23.2,49.1,2379,0.44,0.54
48.5,25.7,40.7,2380,0.44,0.51
67.2,17.0,-7.5,2381,0.44,0.48
27.9,30.4,68.8,2382,0.44,0.48
35.1,21.7,46.0,2383,0.44,0.62
41.8,26.5,32.6,2384,0.44,0.48
-16.0,44.2,110.4,2385,0.72,0.5
57.2,32.9,28.1,2386,0.44,0.48
28.2,26.6,32.7,2387,0.44,0.48
34.5,21.2,49.1,2388,0.44,0.5
71.4,51.8,-31.1,2389,0.48,0.75
44.9,25.5,26.5,2390,0.44,0.48
-32.3,17.0,88.9,2391,0.44,0.69
34.0,31.9,58.0,2392,0.44,0.5
7.1,28.0,72.7,2393,0.44,0.48
-0.8,6.3,45.7,2394,0.44,0.61
-21.5,18.6,81.3,2395,0.44,0.51
33.2,34.4,66.7,2396,0.44,0.48
16.5,31.6,76.7,2397,0.45,0.48
31.9,22.9,49.9,2398,0.44,0.49
52.6,26.3,15.5,2399,0.44,0.51
81.5,20.5,-1.3,2400,0.44,0.62
20.5,15.2,56.8,2401,0.44,0.56
126.4,-41.6,-41.5,2402,0.44,0.48
82.3,20.7,-6.1,2403,0.44,0.65
83.8,21.5,-5.3,2404,0.44,0.65
62.0,31.9,7.7,2405,0.44,0.48
77.8,23.4,7.1,2406,0.44,0.48
63.4,23.9,21.4,2407,0.44,0.48
-37.7,21.9,114.1,2408,0.45,0.5
11.1,26.5,73.2,2409,0.44,0.5
64.6,31.9,26.6,2410,0.45,0.52
15.6,19.1,54.1,2411,0.44,0.7
19.6,45.1,66.1,2412,0.44,0.49
4.4,21.7,71.5,2413,0.44,0.5
13.5,20.4,71.3,2414,0.45,0.61
-11.8,53.5,69.0,2415,0.44,0.49
20.1,20.8,62.0,2416,0.44,0.58
-33.1,13.3,83.9,2417,0.44,0.5
75.9,20.0,9.5,2418,0.44,0.62
47.9,22.3,32.7,2419,0.44,0.49
-20.0,83.3,-17.0,2420,0.44,0.5
39.6,26.7,22.8,2421,0.44,0.48
67.5,20.9,5.0,2422,0.45,0.58
95.7,25.5,-26.2,2423,0.44,0.63
68.7,50.0,1.8,2424,0.44,0.48
31.6,29.9,57.8,2425,0.45,0.58
14.3,36.6,90.7,2426,0.45,0.51
61.9,19.1,10.2,2427,0.44,0.65
52.6,18.7,23.7,2428,0.44,0.63
73.0,23.0,10.5,2429,0.44,0.51
26.8,38.3,73.4,2430,0.45,0.49
40.3,24.4,42.7,2431,0.44,0.48
62.2,20.8,32.0,2432,0.44,0.63
34.4,11.4,38.1,2433,0.44,0.5
25.5,26.8,74.7,2434,0.44,0.66
9.4,23.7,78.2,2435,0.44,0.5
-17.0,17.7,105.2,2436,0.44,0.62
45.9,17.6,34.3,2437,0.44,0.5
18.3,23.2,72.1,2438,0.44,0.58
41.8,18.6,38.4,2439,0.44,0.63
26.7,28.6,62.1,2440,0.44,0.48
-22.5,74.5,48.5,2441,0.44,0.5
43.5,20.1,35.6,2442,0.44,0.5
15.8,25.4,75.0,2443,0.44,0.48
80.0,28.5,7.8,2444,0.44,0.51
39.5,25.7,24.1,2445,0.44,0.49
27.4,34.4,61.5,2446,0.44,0.48
67.2,19.1,-6.9,2447,0.44,0.64
-14.7,20.5,84.2,2448,0.44,0.67
37.5,23.9,34.8,2449,0.44,0.48
40.3,31.6,62.1,2450,0.45,0.48
19.2,22.6,68.7,2451,0.44,0.48
60.0,17.0,15.2,2452,0.44,0.49
76.6,32.0,12.5,2453,0.44,0.48
51.0,18.5,26.5,2454,0.44,0.48
17.5,25.0,63.1,2455,0.44,0.48
52.6,25.9,41.7,2456,0.44,0.48
-40.4,50.4,134.1,2457,0.44,0.48
71.1,21.7,4.5,2458,0.44,0.6
56.5,36.7,29.8,2459,0.44,0.49
15.5,28.1,82.8,2460,0.44,0.49
73.9,20.9,11.3,2461,0.44,0.5
-48.4,111.1,-83.2,2462,0.46,0.48
84.1,32.6,-1.5,2463,0.44,0.54
-24.4,17.8,78.5,2464,0.45,0.49
8.3,13.9,69.2,2465,0.44,0.65
22.1,24.9,78.1,2466,0.44,0.64
84.7,32.0,-8.8,2467,0.44,0.48
28.2,22.5,51.4,2468,0.44,0.48
75.6,28.1,-5.2,2469,0.45,0.49
17.6,13.1,39.2,2470,0.44,0.73
35.8,28.2,54.4,2471,0.44,0.48
48.4,18.7,8.4,2472,0.44,0.48
43.4,28.1,57.9,2473,0.48,0.48
21.0,27.5,82.1,2474,0.44,0.48
31.5,32.6,61.0,2475,0.44,0.48
73.0,19.2,6.6,2476,0.44,0.61
23.5,31.3,69.0,2477,0.45,0.5
42.0,11.1,11.9,2478,0.44,0.57
70.8,15.5,-13.0,2479,0.44,0.48
77.7,84.9,-27.5,2480,0.57,0.49
39.0,17.4,37.0,2481,0.44,0.49
16.2,17.4,64.1,2482,0.44,0.52
37.7,37.6,53.0,2483,0.44,0.52
2.7,30.8,85.5,2484,0.44,0.5
10.5,30.2,97.7,2485,0.44,0.48
76.8,22.4,6.0,2486,0.44,0.51
22.1,23.8,65.3,2487,0.44,0.48
29.4,34.8,60.1,2488,0.45,0.48
14.3,29.8,88.1,2489,0.59,0.5
8.4,24.9,81.9,2490,0.44,0.58
42.5,33.1,11.8,2491,0.45,0.48
35.5,19.2,42.7,2492,0.44,0.48
28.1,41.5,77.0,2493,0.48,0.5
31.4,27.6,64.5,2494,0.44,0.48
9.4,34.9,91.4,2495,0.45,0.48
35.2,21.5,37.9,2496,0.44,0.61
72.0,21.4,-16.3,2497,0.44,0.48
31.8,15.7,48.7,2498,0.44,0.56
-24.2,21.4,81.9,2499,0.71,0.5
30.6,19.4,20.9,2500,0.45,0.49
70.6,49.5,9.0,2501,0.45,0.48
19.8,32.6,77.9,2502,0.45,0.49
45.2,38.1,51.8,2503,0.45,0.51
32.4,23.3,53.3,2504,0.44,0.48
29.8,20.6,50.6,2505,0.44,0.48
51.0,18.6,25.0,2506,0.44,0.49
19.3,31.1,77.9,2507,0.44,0.48
-45.1,52.6,63.2,2508,0.45,0.49
12.6,22.5,52.0,2509,0.44,0.49
27.1,19.4,51.2,2510,0.44,0.48
20.5,22.7,65.0,2511,0.44,0.48
45.1,23.7,32.9,2512,0.44,0.49
71.6,19.4,9.3,2513,0.44,0.6
15.4,28.2,84.8,2514,0.45,0.49
33.2,24.3,48.2,2515,0.44,0.48
29.2,31.8,69.2,2516,0.45,0.48
36.9,33.5,57.6,2517,0.44,0.5
65.2,25.8,8.3,2518,0.44,0.66
-39.4,40.7,117.4,2519,0.44,0.49
34.7,23.4,51.1,2520,0.44,0.55
48.6,27.5,25.2,2521,0.44,0.48
41.2,32.7,46.7,2522,0.44,0.5
-3.5,22.9,64.2,2523,0.45,0.49
17.0,31.7,79.3,2524,0.45,0.48
37.8,36.7,57.4,2525,0.44,0.48
10.4,12.5,49.1,2526,0.44,0.49
52.0,31.3,11.7,2527,0.44,0.55
23.5,23.2,52.8,2528,0.44,0.49
-21.2,72.3,65.1,2529,0.44,0.67
56.6,26.8,-5.0,2530,0.44,0.48
23.2,25.4,58.3,2531,0.45,0.49
56.8,20.4,20.2,2532,0.44,0.51
9.8,19.3,62.3,2533,0.44,0.61
47.1,25.0,42.6,2534,0.44,0.62
83.6,25.8,-11.4,2535,0.44,0.48
13.5,30.7,94.6,2536,0.45,0.48
29.6,12.1,41.0,2537,0.66,0.64
8.4,25.8,62.9,2538,0.45,0.5
48.8,20.5,28.7,2539,0.44,0.5
40.7,35.4,56.3,2540,0.44,0.5
21.0,35.5,73.0,2541,0.45,0.49
27.3,15.7,30.9,2542,0.44,0.68
49.6,36.5,37.1,2543,0.44,0.49
52.6,18.7,22.4,2544,0.44,0.53
27.9,26.5,62.9,2545,0.44,0.48
20.6,29.5,72.2,2546,0.44,0.51
34.5,32.0,53.0,2547,0.44,0.48
64.8,21.1,22.1,2548,0.44,0.48
64.2,15.0,-13.3,2549,0.44,0.65
22.5,33.1,66.9,2550,0.44,0.48
129.6,-47.2,-46.6,2551,0.44,0.49
57.2,21.3,21.7,2552,0.44,0.53
19.6,34.0,91.2,2553,0.44,0.48
43.2,8.0,12.2,2554,0.44,0.72
-40.6,32.7,120.9,2555,0.46,0.61
43.9,23.2,24.3,2556,0.44,0.57
66.1,20.5,17.8,2557,0.44,0.51
13.2,20.4,69.1,2558,0.44,0.49
-1.4,17.9,77.1,2559,0.44,0.54
53.3,27.3,20.7,2560,0.44,0.49
39.8,21.5,43.6,2561,0.44,0.48
54.0,18.8,30.5,2562,0.47,0.48
22.6,28.1,73.7,2563,0.44,0.48
24.1,23.2,61.1,2564,0.44,0.49
11.7,25.4,63.5,2565,0.45,0.49
-4.2,36.4,87.9,2566,0.44,0.51
37.7,18.2,19.0,2567,0.44,0.49
-45.7,51.5,116.2,2568,0.45,0.49
0.4,9.5,75.3,2569,0.65,0.64
36.4,25.8,39.9,2570,0.44,0.66
31.6,18.4,36.8,2571,0.44,0.54
3.3,20.8,84.3,2572,0.45,0.56
30.6,24.7,54.3,2573,0.45,0.48
76.9,21.0,-1.3,2574,0.44,0.63
60.0,11.1,-0.8,2575,0.44,0.66
53.0,15.7,9.6,2576,0.44,0.74
39.2,28.1,35.9,2577,0.44,0.49
55.1,35.0,35.2,2578,0.45,0.55
65.4,16.5,0.9,2579,0.44,0.48
18.9,27.7,83.2,2580,0.44,0.48
29.8,31.9,64.0,2581,0.45,0.48
52.7,40.7,17.6,2582,0.44,0.48
13.7,35.8,89.9,2583,0.45,0.49
10.8,39.6,81.7,2584,0.45,0.5
33.5,23.1,40.8,2585,0.44,0.62
-42.2,49.4,49.0,2586,0.45,0.49
30.3,29.2,57.9,2587,0.44,0.5
77.6,31.7,13.1,2588,0.44,0.48
52.3,30.2,29.3,2589,0.44,0.48
66.1,20.1,15.0,2590,0.44,0.52
33.4,35.4,57.1,2591,0.45,0.48
85.9,22.3,-2.7,2592,0.48,0.5
-32.3,46.9,95.6,2593,0.44,0.49
4.8,22.7,77.5,2594,0.44,0.48
48.9,27.8,33.7,2595,0.44,0.64
36.5,31.7,56.9,2596,0.44,0.48
30.2,27.2,42.7,2597,0.44,0.48
-1.1,17.7,81.7,2598,0.44,0.49
65.4,37.0,-2.4,2599,0.45,0.48
57.6,18.6,16.7,2600,0.44,0.49
28.7,31.4,69.2,2601,0.44,0.48
19.3,37.5,77.0,2602,0.45,0.49
82.0,41.0,-42.2,2603,0.47,0.49
84.8,35.2,-23.0,2604,0.44,0.48
28.1,27.5,55.6,2605,0.44,0.48
-12.5,42.8,107.2,2606,0.71,0.48
14.0,32.1,92.1,2607,0.45,0.48
42.6,19.3,27.8,2608,0.44,0.48
75.6,16.0,-9.2,2609,0.44,0.57
23.1,28.5,60.6,2610,0.45,0.48
57.3,27.7,11.6,2611,0.44,0.48
60.1,41.5,8.9,2612,0.44,0.48
62.9,25.4,10.8,2613,0.45,0.59
-39.6,24.5,128.8,2614,0.44,0.48
53.4,23.9,17.2,2615,0.44,0.5
-23.6,45.4,113.9,2616,0.71,0.5
29.9,70.0,7.5,2617,0.46,0.68
77.5,19.4,-12.9,2618,0.44,0.61
13.6,29.6,86.2,2619,0.45,0.49
85.2,29.2,-19.2,2620,0.44,0.56
-13.8,31.4,110.7,2621,0.44,0.48
60.8,23.1,21.0,2622,0.44,0.5
24.4,25.4,64.4,2623,0.44,0.65
10.2,32.4,90.2,2624,0.44,0.48
47.7,22.9,39.7,2625,0.45,0.48
51.2,27.2,40.1,2626,0.44,0.48
75.4,24.5,-4.1,2627,0.44,0.59
43.1,36.5,45.7,2628,0.44,0.48
49.9,17.9,8.0,2629,0.44,0.67
29.4,31.0,63.9,2630,0.44,0.51
41.4,38.9,59.2,2631,0.45,0.48
38.4,25.3,49.4,2632,0.44,0.48
93.6,37.6,-7.4,2633,0.46,0.48
30.6,25.2,66.7,2634,0.44,0.48
30.9,31.5,60.2,2635,0.44,0.48
54.9,29.2,12.1,2636,0.44,0.49
72.9,30.5,9.6,2637,0.44,0.51
69.3,23.1,-1.2,2638,0.44,0.65
21.2,21.9,60.2,2639,0.44,0.48
42.1,34.4,53.9,2640,0.44,0.49
43.9,19.2,20.3,2641,0.44,0.49
48.2,24.9,36.1,2642,0.45,0.48
32.7,21.5,52.2,2643,0.44,0.49
6.6,22.6,68.8,2644,0.45,0.49
13.8,30.8,85.8,2645,0.45,0.49
36.1,34.2,60.2,2646,0.44,0.48
83.0,30.4,-5.8,2647,0.44,0.48
41.6,106.9,-9.8,2648,0.47,0.49
38.3,37.5,61.8,2649,0.45,0.48
57.1,34.3,36.8,2650,0.46,0.48
68.6,19.0,11.7,2651,0.44,0.61
15.0,35.9,98.8,2652,0.45,0.48
18.7,33.7,67.4,2653,0.45,0.53
20.6,13.3,35.5,2654,0.44,0.49
17.1,47.1,46.6,2655,0.44,0.5
18.8,29.5,78.0,2656,0.45,0.5
15.4,21.5,68.9,2657,0.44,0.48
44.7,29.3,45.8,2658,0.44,0.59
27.8,41.1,63.8,2659,0.45,0.48
-20.4,46.7,111.3,2660,0.72,0.51
-15.8,25.0,112.9,2661,0.44,0.6
-39.5,24.7,90.3,2662,0.44,0.49
-20.9,26.8,110.5,2663,0.68,0.64
97.1,-37.4,-40.5,2664,0.44,0.49
32.6,30.3,45.4,2665,0.46,0.48
60.3,17.4,4.3,2666,0.44,0.69
77.1,15.3,-15.2,2667,0.44,0.63
8.4,30.4,65.9,2668,0.44,0.49
25.8,30.0,73.8,2669,0.44,0.48
35.8,27.4,61.6,2670,0.47,0.5
53.6,11.4,6.7,2671,0.44,0.72
7.7,21.6,64.9,2672,0.44,0.48
14.8,28.1,65.9,2673,0.45,0.54
57.0,26.1,33.0,2674,0.44,0.49
24.0,35.7,74.5,2675,0.45,0.48
33.1,93.1,6.3,2676,0.53,0.62
31.6,27.0,35.7,2677,0.44,0.48
-6.3,63.5,51.6,2678,0.45,0.48
34.2,20.0,30.5,2679,0.44,0.49
26.8,28.4,55.6,2680,0.44,0.48
53.5,32.9,-14.6,2681,0.44,0.76
63.2,14.6,-19.1,2682,0.44,0.72
34.3,18.5,37.2,2683,0.44,0.56
24.0,24.3,70.3,2684,0.44,0.48
46.1,13.3,18.2,2685,0.44,0.57
42.4,34.7,54.2,2686,0.44,0.53
-17.6,31.8,105.3,2687,0.44,0.49
-43.4,35.5,119.1,2688,0.44,0.59
27.8,32.4,70.7,2689,0.45,0.48
37.1,23.8,35.1,2690,0.44,0.48
39.7,21.9,36.2,2691,0.44,0.48
41.7,28.4,45.4,2692,0.44,0.48
26.2,58.0,46.7,2693,0.45,0.59
20.0,30.0,69.2,2694,0.45,0.48
77.0,20.1,-4.9,2695,0.44,0.69
73.6,22.1,6.9,2696,0.44,0.49
45.1,37.4,46.9,2697,0.58,0.48
48.7,34.0,41.8,2698,0.44,0.52
43.6,30.6,52.0,2699,0.44,0.48
6.9,22.9,71.8,2700,0.44,0.5
67.0,26.7,-11.7,2701,0.44,0.48
25.5,17.2,50.2,2702,0.44,0.49
45.9,25.4,17.1,2703,0.44,0.48
18.8,22.0,56.4,2704,0.44,0.49
24.0,19.0,47.6,2705,0.44,0.48
38.2,84.5,3.4,2706,0.5,0.48
94.5,23.2,-15.7,2707,0.52,0.5
83.2,29.1,-4.5,2708,0.44,0.48
32.1,23.4,47.5,2709,0.44,0.48
52.9,29.0,18.5,2710,0.44,0.48
56.2,23.7,15.0,2711,0.44,0.48
71.4,28.7,8.1,2712,0.44,0.48
24.5,29.8,56.0,2713,0.44,0.48
61.6,15.2,-2.4,2714,0.44,0.49
38.8,26.6,37.4,2715,0.44,0.48
75.0,17.1,-12.2,2716,0.44,0.48
-11.5,30.2,110.2,2717,0.44,0.49
55.8,23.6,19.5,2718,0.44,0.48
53.8,15.7,1.3,2719,0.44,0.49
96.5,46.1,-14.4,2720,0.49,0.48
-1.9,30.4,95.6,2721,0.45,0.48
19.6,12.8,61.1,2722,0.44,0.59
12.5,25.4,79.6,2723,0.44,0.69
-16.8,53.3,116.7,2724,0.69,0.49
28.9,31.1,72.2,2725,0.44,0.48
3.5,81.7,49.1,2726,0.46,0.49
-82.0,49.1,73.5,2727,0.44,0.62
29.4,16.5,47.2,2728,0.44,0.59
25.0,25.6,60.7,2729,0.44,0.48
49.4,31.9,52.0,2730,0.44,0.48
25.5,19.7,54.9,2731,0.44,0.48
64.1,9.8,-3.9,2732,0.44,0.48
93.5,37.2,-22.9,2733,0.44,0.63
20.9,151.2,-5.5,2734,0.46,0.48
86.9,23.7,-6.0,2735,0.44,0.62
43.7,21.0,8.2,2736,0.44,0.49
41.1,30.5,56.0,2737,0.44,0.53
32.3,20.5,36.2,2738,0.44,0.49
-27.4,74.1,61.3,2739,0.44,0.77
47.9,37.1,46.4,2740,0.44,0.5
35.7,32.8,56.1,2741,0.44,0.48
7.7,32.1,96.6,2742,0.45,0.49
58.9,19.1,21.8,2743,0.44,0.54
67.8,22.9,-14.9,2744,0.44,0.5
31.8,32.8,60.4,2745,0.44,0.48
19.6,29.9,78.8,2746,0.45,0.48
13.5,37.3,79.6,2747,0.48,0.48
61.5,19.1,21.5,2748,0.44,0.61
26.8,24.5,50.7,2749,0.44,0.48
60.7,26.6,27.3,2750,0.44,0.5
46.1,24.2,33.8,2751,0.44,0.58
35.8,105.4,28.1,2752,0.44,0.5
64.6,11.3,-16.6,2753,0.44,0.51
45.1,28.7,38.4,2754,0.44,0.49
24.8,33.5,65.1,2755,0.45,0.48
58.7,10.9,-15.4,2756,0.44,0.77
62.5,12.9,-1.4,2757,0.44,0.67
99.2,34.0,-26.7,2758,0.52,0.51
34.3,17.9,30.3,2759,0.44,0.63
29.0,33.7,58.8,2760,0.44,0.48
56.7,18.9,16.2,2761,0.44,0.63
32.4,22.2,36.1,2762,0.44,0.51
30.4,23.7,47.7,2763,0.44,0.49
26.4,21.7,57.5,2764,0.44,0.48
91.4,26.6,-13.4,2765,0.44,0.64
30.0,12.4,45.1,2766,0.44,0.66
41.6,8.8,20.8,2767,0.44,0.67
37.2,17.2,34.8,2768,0.44,0.48
27.6,26.8,43.9,2769,0.44,0.48
36.7,11.0,13.7,2770,0.44,0.59
11.5,33.5,66.8,2771,0.69,0.5
44.0,21.6,38.8,2772,0.44,0.61
99.2,46.5,-39.5,2773,0.65,0.62
9.4,19.7,61.3,2774,0.45,0.5
26.9,25.0,76.1,2775,0.45,0.64
11.4,21.5,69.8,2776,0.44,0.48
62.9,17.0,-7.6,2777,0.44,0.66
34.9,25.0,52.9,2778,0.44,0.51
43.6,26.7,30.7,2779,0.44,0.49
12.7,19.7,59.5,2780,0.44,0.65
47.6,21.8,9.6,2781,0.44,0.5
32.2,34.0,67.2,2782,0.44,0.48
23.8,23.0,52.5,2783,0.44,0.5
75.6,21.3,7.0,2784,0.44,0.62
19.2,38.1,76.6,2785,0.45,0.49
88.8,15.4,-42.2,2786,0.44,0.48
30.1,32.9,71.0,2787,0.45,0.48
34.5,31.1,53.5,2788,0.44,0.48
93.0,65.2,-8.4,2789,0.52,0.48
78.7,37.8,-9.2,2790,0.46,0.5
25.5,32.1,69.0,2791,0.44,0.49
28.4,28.5,49.5,2792,0.44,0.48
24.9,30.9,71.1,2793,0.45,0.5
49.6,23.4,15.8,2794,0.44,0.63
66.6,25.6,2.0,2795,0.44,0.48
-5.0,66.2,66.2,2796,0.44,0.48
35.0,28.8,50.9,2797,0.45,0.48
24.1,23.2,62.4,2798,0.44,0.48
38.2,22.8,46.4,2799,0.44,0.49
45.9,27.1,35.5,2800,0.44,0.5
42.9,41.1,31.8,2801,0.44,0.48
-31.8,34.3,126.1,2802,0.44,0.63
18.5,36.4,80.2,2803,0.44,0.48
73.8,21.0,1.2,2804,0.44,0.51
21.6,18.1,49.8,2805,0.44,0.5
6.3,22.9,69.2,2806,0.45,0.49
77.5,28.1,10.1,2807,0.44,0.51
19.1,29.2,61.6,2808,0.44,0.48
45.2,23.1,43.5,2809,0.44,0.48
5.6,15.5,58.7,2810,0.44,0.49
52.3,41.3,50.2,2811,0.44,0.48
23.3,29.9,75.5,2812,0.44,0.48
29.4,26.3,35.4,2813,0.44,0.48
39.6,16.3,16.4,2814,0.44,0.69
34.6,29.5,41.8,2815,0.44,0.48
81.7,21.4,-1.6,2816,0.44,0.58
37.3,23.7,29.4,2817,0.44,0.48
79.3,20.2,0.1,2818,0.44,0.63
11.1,1.7,50.6,2819,0.64,0.68
45.0,18.5,28.7,2820,0.44,0.5
39.9,25.9,23.8,2821,0.45,0.48
26.2,25.5,64.6,2822,0.45,0.63
86.3,26.3,-2.4,2823,0.44,0.62
42.6,35.9,50.9,2824,0.44,0.48
53.8,25.4,24.5,2825,0.44,0.51
24.2,26.0,73.7,2826,0.44,0.64
-7.3,73.4,34.0,2827,0.45,0.48
21.5,19.4,62.2,2828,0.45,0.5
